timestamp_utc,source,city,state,lat,lon,Ta_C,RH_pct,notes
2026-04-26T05:44:00+00:00,shram_stations,Sambalpur,Odisha,21.47,83.97,36.2,29.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Dhankauda""}"
2026-04-26T05:44:00+00:00,shram_stations,Delhi,Delhi,28.61,77.21,38.0,23.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Pharma Science And Research Un""}"
2026-04-26T05:44:00+00:00,shram_stations,Lucknow,Uttar Pradesh,26.85,80.95,38.8,27.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Meteorological Centre Amausi""}"
2026-04-26T05:44:00+00:00,shram_stations,Kolkata,West Bengal,22.57,88.36,32.0,63.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Science City""}"
2026-04-26T05:44:00+00:00,shram_stations,Mumbai,Maharashtra,19.08,72.88,31.9,100.0,"{""zone_light"": ""Zone 5"", ""zone_hard"": ""Zone 6"", ""station"": ""Mumbai Santa Cruz""}"
2026-04-26T05:44:00+00:00,shram_stations,Chennai,Tamil Nadu,13.08,80.27,33.4,61.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Niot Pallikaranai""}"
2026-04-26T05:44:00+00:00,shram_stations,Ahmedabad,Gujarat,23.03,72.58,38.5,28.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Science City""}"
2026-04-26T05:44:00+00:00,shram_stations,Nagpur,Maharashtra,21.15,79.09,39.9,16.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Ramtek Aws400""}"
2026-04-26T05:44:00+00:00,shram_stations,Bengaluru,Karnataka,12.97,77.59,33.4,36.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Madhavara(Nice)""}"
2026-04-26T05:44:00+00:00,open_meteo,Angul,Odisha,20.84,85.1,37.5,44.0,
2026-04-26T05:44:00+00:00,open_meteo,Bhubaneshwar,Odisha,20.26,85.83,34.8,57.0,
